Altium Designer Pick and Place Locations
E:\2025\Altium\LuHan\Hydrosmart\2025-07-02\Project Outputs\Pick Place\Pick Place for Hydrosmart_PCB.csv

========================================================================================================================
File Design Information:

Date:       02-07-25
Time:       17:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J2","Header 3","TopLayer","HDR1X3","244.890","-46.180","180","Header, 3-Pin"
"C3","4.7uF","TopLayer","C0402","930.000","-81.000","180","CAP CER 4.7UF 16V X6T 0402"
"L2","4.7uH","TopLayer","FP-MLZ1608-IPC_A","1041.338","-54.134","180","Shielded Multilayer Inductor 4.7uH ±20% 350mA 650mO SMD 0603"
"C4","4.7uF","TopLayer","C0402","1179.000","-515.000","180","CAP CER 4.7UF 16V X6T 0402"
"M1","AN54L15Q-U","TopLayer","AN54L15Q-U","1005.529","-296.999","270","AN54L15Q-U"
"Y1","FC-135_32.7680KA-AG5","TopLayer","FC135327680KAAG5","824.999","-68.000","180","Crystal or Oscillator"
"J1","TC2030-IDC-NL","TopLayer","TC2030-IDC-NL","112.205","-275.591","270","Header, 3-Pin, Dual row"
"U3","CT8122AM-IS3","TopLayer","SOT95P280X135-3L","565.677","-285.754","133","Integrated Bipolar TMR Digital Latch"
"U4","CT8122AM-IS3","TopLayer","SOT95P280X135-3L","677.000","-577.000","270","Integrated Bipolar TMR Digital Latch"
"IC1","24FC04HT-I/OT","TopLayer","SOT23-5","614.000","-115.000","270","IC EEPROM 4KBIT I2C 1MHZ SOT23-5"
"U5","112TR","BottomLayer","112TR","674.000","-477.374","180","BATT CONTACT SPRING MULTIPLE SMD"
"C1","47uF","TopLayer","FP-C2012-125-0_2-MFG","422.001","-672.000","270","Multilayer Ceramic Capacitors 47µF ±20% 6.3V X5R SMD 0805"
"R1","20K","TopLayer","R0402","396.654","-573.819","270","RES SMD 20K OHM 1% 1/20W 0201"
"U1","MAXM38643AEMB+","TopLayer","MAXM38643AEMB","318.000","-616.295","180","Integrated Circuit"
"C2","22uF","TopLayer","FP-GRM158-0_2-MFG","232.001","-675.000","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 22uF, X5R, 15%, 20%, 10V"
"U2","122","BottomLayer","122","88.583","-477.167","0","BATT CONTACT SOLID MULTIPLE SMD"
